"player_name","overall_rating","gk_rating","No_of_Presences","No_of_leagues"
"Patryk Rachwal,18",61,45,4,1
"Diego Mainz",72,53,79,1
"Jose Dorado",74,64,69,1
"Ignacio Gonzalez",69,60,14,2
"Alberto Rey",67,55,40,1
"Javier Jimenez",69,340,1,1
"Pablo Hernandez",76,54,131,2
"Ruben Perez",76,56,128,1
"Ivan Perez",65,52,2,1
"Vicente Sanchez",72,49,16,1
"Gregory Lacombe",65,42,5,1
"Ugur Inceman",68,44,16,1
"David Rivas Rodriguez",62,51,3,1
"Jorge Molina",75,55,70,1
"Sergio Aragones",65,323,19,1
"Alexandre Hauw",66,53,13,1
"Marat Izmailov",73,53,26,1
"Kelly Berville",67,115,3,1
"Abdelmalek Cherrad",62,49,1,1
"Oscar Sanchez",67,40,4,1
"Vincent Euvrard",64,54,54,1
"Luca Belingheri",68,46,1,1
"Aleksander Radosavljevic",65,62,70,1
"Peter Halmosi",65,51,4,1
"Alexandr Kerzhakov",77,68,17,1
"Andrey Arshavin",75,55,70,1
"Lee Wilkie",73,128,30,1
"Boban Grncarov",66,54,25,1
"Iriney",69,40,62,1
"Tim Clancy",57,64,84,1
"Sebastian Olszar",57,43,1,1
"Ibrahim Sidibe",65,50,42,1
"Jeroen Verhoeven",65,330,10,1
"Wilko de Vogt",61,309,9,1
"Sander Duits",67,61,105,1
"Gudmundur Steinarsson",62,108,1,1
"Manuel Silas",72,41,16,1
"Remy Gomis",71,56,161,1
"Laurent Batlles",73,49,100,1
"Raffaele Rubino",62,52,3,1
"Iban Javier Cuadrado",63,54,13,1
"Julio Alvarez",69,52,27,1
"Perez Richi",64,64,8,1
"Gary Coulibaly",67,48,26,1
"Ifet Taljevic,23",60,121,13,1
"Marjan Petkovic",65,324,5,1
"Freddy Mombongo-Dues",61,48,7,1
"Yann Jouffre",75,55,134,1
"Bertrand Robert",68,41,3,1
"Jeremy Blayac",65,41,7,1
"Dimitri Bulykin",67,50,44,1
"Gerry Koning",65,59,17,1
"Rowin van Zaanen",64,52,11,1
"Kees Kwakman",67,50,111,1
"Charles Dissels",65,122,1,1
"Otman Bakkal",69,53,71,1
"Diederik Boer",70,341,48,1
"Denis Dessaer",60,42,1,1
"Oliver Vinamont",60,51,21,1
"Roel van Hemert",60,55,5,1
"Jonas Ivens",64,40,72,2
"Brecht Verbrugghe",63,143,6,1
"Pedro Kamata",69,45,1,1
"Fabian Vargas",68,54,17,1
"Santiago Acasiete",65,59,54,1
"Fabian Canobbio",76,160,34,1
"Toni Lehtinen",59,122,1,1
"Sebastian Sorsa",61,48,1,1
"Roni Porokara",64,47,13,1
"Kasper Haemaelaeinen",71,55,56,1
"Anssi Jaakkola",57,286,8,1
"Tom van Hyfte",67,64,31,1
"Kristian Nushi",62,58,91,1
"Anthony Favre",60,300,49,1
"Thierno Bah",63,39,50,1
"Tibert Pont",57,41,26,1
"Jerome Schneider",54,49,35,1
"Josip Colina",59,49,35,1
"Alessandro Iandoli",66,49,54,1
"Michele Polverino",60,57,19,1
"Marco Perez",69,47,2,1
"Stefan Nater",58,49,82,1
"Thomas Reinmann",61,63,111,1
"Angelo Raso",57,40,33,1
