"team_long_name","buildup_play","chance_creation","defense","No_of_scored_goals"
"FC Aarau",142,181,145,153
"Aberdeen",176,186,157,365
"AC Ajaccio",168,138,138,116
"Milan",170,171,164,496
"Académica de Coimbra",150,166,138,240
"ADO Den Haag",162,145,142,366
"Ajax",117,143,176,647
"UD Almería",152,151,135,202
"RSC Anderlecht",149,160,164,427
"Angers SCO",159,140,139,40
"AC Arles-Avignon",156,138,158,21
"FC Arouca",170,160,113,101
"Arsenal",140,118,147,573
"Aston Villa",154,146,133,335
"Atalanta",146,138,148,283
"Athletic Club de Bilbao",131,146,156,415
"Atlético Madrid",157,172,143,524
"FC Augsburg",165,166,143,201
"AJ Auxerre",168,164,119,168
"AZ",154,173,166,492
"FC Barcelona",122,141,191,849
"Bari",157,143,156,76
"FC Basel",170,186,158,619
"Bayer 04 Leverkusen",157,192,183,483
"FC Bayern Munich",97,90,184,653
"CF Os Belenenses",156,128,135,148
"SL Benfica",177,185,171,568
"Birmingham City",163,203,143,75
"Blackburn Rovers",185,159,157,175
"Blackpool",162,166,131,55
"Boavista FC",153,128,148,51
"VfL Bochum",164,172,172,72
"Bologna",164,132,132,263
"Bolton Wanderers",152,170,145,181
"Girondins de Bordeaux",139,156,158,404
"Borussia Dortmund",148,163,176,551
"Borussia Mönchengladbach",116,113,128,403
"Bournemouth",130,141,160,45
"SC Braga",145,166,120,398
"Brescia",141,158,150,34
"Stade Brestois 29",161,168,129,99
"Burnley",153,176,183,70
"SM Caen",157,155,136,220
"Cagliari",134,196,187,309
"SC Cambuur",136,134,138,119
"Cardiff City",168,154,113,32
"Carpi",190,160,115,37
"Catania",170,141,147,251
"RC Celta de Vigo",152,139,169,184
"Celtic",156,164,169,695
"KSV Cercle Brugge",145,152,168,213
"Cesena",138,163,145,98
"Chelsea",144,119,126,583
"Chievo Verona",187,170,156,285
"Club Brugge KV",139,146,158,421
"Córdoba CF",141,171,129,22
"Cracovia",125,165,157,235
"Crystal Palace",173,186,111,119
"SV Darmstadt 98",179,174,129,38
"RC Deportivo de La Coruña",155,145,154,241
"Dijon FCO",154,153,149,38
"Dundee FC",142,158,146,127
"Dundee United",171,149,143,438
"SD Eibar",165,166,142,83
"Eintracht Braunschweig",164,172,157,29
"Eintracht Frankfurt",130,145,145,296
"Elche CF",151,164,158,65
"Empoli",145,186,160,86
"RCD Espanyol",146,152,122,338
"Estoril Praia",167,139,150,167
"Everton",128,135,169,439
"Évian Thonon Gaillard FC",149,164,140,180
"Excelsior",163,136,106,154
"1. FC Köln",171,164,149,226
